epoch,loss,lr,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,2.8259156425044223,9.997532801828658e-05,0.4038420875600761,0.06655084063259736,0.10717911007098364,15.61478073718059
2,2.226392907916375,9.990133642141359e-05,0.7221648999690731,0.10423981264834845,0.14866351430804584,14.89718127254887
3,1.742964488155437,9.977809823015401e-05,0.7631417243379869,0.11850322515708338,0.16290657821717186,12.22531101152275
4,1.4276326669836945,9.960573506572391e-05,0.7802285131221223,0.11526193625208817,0.15677488353695881,13.547367283659163
5,1.19069848420485,9.93844170297569e-05,0.7800273752218876,0.11687703420737983,0.15921495254259949,11.818328408014848
6,1.0322872748914755,9.911436253643445e-05,0.7740226601822958,0.11036557479012446,0.15126176974348746,11.758883038694135
7,0.9316161398617726,9.879583809693738e-05,0.7852437169802376,0.11129799464281306,0.1506288459896949,13.110261297596097
8,0.886665126062789,9.842915805643157e-05,0.7839271779968833,0.10921429142167798,0.14734741375093538,13.402865416253915
9,0.823305569729715,9.801468428384717e-05,0.8009576812780722,0.11853180338151467,0.1581794363191127,14.336271073980772
10,0.7837633490562439,9.75528258147577e-05,0.7938821872185254,0.10965606466127535,0.1448762539676882,14.011789371466213
11,0.7618241332611948,9.70440384477113e-05,0.7979501692703729,0.119231512256273,0.15625930768363644,14.826494378233912
12,0.7121563508825483,9.64888242944126e-05,0.8005812907891182,0.11511030204851048,0.1513636917649105,13.252351483016094
13,0.7016826727480259,9.588773128419907e-05,0.798629056713664,0.1285960703609334,0.17071085377036246,12.623128176659286
14,0.6644369965454318,9.5241352623301e-05,0.8039086067908309,0.12001098023712248,0.16045566657663177,14.35911218843635
15,0.6241455005024964,9.455032620941843e-05,0.8040626394439474,0.1328679262866616,0.17654843309267662,13.5422990237608
16,0.6215460542237984,9.381533400219321e-05,0.8083646427714138,0.14408833692987116,0.1939543942074906,12.932627399417502
17,0.5904350831823529,9.303710135019722e-05,0.8020408762177949,0.14214332535875412,0.19409066011798404,11.805230138446412
18,0.5936117948226209,9.22163962751008e-05,0.8097792298969329,0.1357102789964047,0.18286925399543089,13.39832321811413
19,0.5860210190404136,9.135402871372814e-05,0.8070753435635496,0.14198618446468617,0.19041703901655557,12.231132350869695
20,0.5812831852795943,9.045084971874742e-05,0.7938187531557129,0.1442762552608406,0.19141342882173196,13.476448369453793
21,0.5463337004184723,8.950775061878456e-05,0.796259346742025,0.13723501131220997,0.18410161607231007,12.327979220180014
22,0.5199162909444773,8.852566213878951e-05,0.8043669423502509,0.13577149943335506,0.17969704150941226,13.218954602422167
23,0.5083460166769208,8.750555348152303e-05,0.8048886367244847,0.1454295244880413,0.20059903685013122,13.123241880018035
24,0.48732991938321096,8.644843137107063e-05,0.8134578035560699,0.1542504645991118,0.20124969085763086,13.59850601196631
25,0.450426902692273,8.535533905932742e-05,0.8147486077239061,0.16153886467568673,0.21312542960602496,13.430228718451954
26,0.4432963329666066,8.422735529643448e-05,0.8078069798538533,0.16658474486070501,0.22304580641604185,12.097280854484675
27,0.4305383456203173,8.306559326618263e-05,0.8206646806211572,0.16509429984389654,0.21981137701700734,12.941371982739716
28,0.42835760566423525,8.187119948743452e-05,0.8190612962671725,0.17548505820757537,0.23356292158882452,12.510921316905833
29,0.43602006474755844,8.064535268264887e-05,0.7801474710276394,0.14191195097523235,0.19385414019182162,12.766745529884828
30,0.4404198811301645,7.938926261462371e-05,0.8130815635631131,0.16447096662957503,0.2215311206192066,11.994596154105764
31,0.4135439103504397,7.810416889260659e-05,0.8177212799082576,0.1637888069763074,0.2199152766406982,12.548935192674913
32,0.3931787202380738,7.679133974894988e-05,0.8222956809906249,0.17396642116195832,0.23170046578382214,12.01184669641778
33,0.3853849211953721,7.545207078751862e-05,0.8167821848858375,0.17172409647570594,0.2288027809738447,11.445415112181912
34,0.3675265149125513,7.408768370508582e-05,0.823293695195942,0.19231052926965853,0.26005131281210536,11.367317551951153
35,0.35770449225070344,7.26995249869774e-05,0.8176362496698494,0.1917912596413613,0.2584188555867099,12.225500538400095
36,0.3581264540553093,7.12889645782537e-05,0.8145671095513037,0.18662796449656116,0.2548638858589989,11.822600865692324
37,0.3431354633198594,6.985739453173908e-05,0.8168035553174374,0.19525470339599835,0.26769779412338296,11.337596552123149
38,0.330756776456563,6.840622763423397e-05,0.8159291735738059,0.1921695356834876,0.2600567344951619,10.67642436711391
39,0.3174060950020574,6.693689601226464e-05,0.8188868714064378,0.20343194982895035,0.2765074316559791,10.932898566222946
40,0.3309507554150977,6.545084971874744e-05,0.825442627539714,0.20469675358335748,0.28238427591529314,11.663908717433031
41,0.33503197555272085,6.394955530196154e-05,0.8164508679480398,0.20027099257770864,0.2729003971727283,10.518089168820914
42,0.3303611288374325,6.24344943582428e-05,0.8239807094230811,0.20785684798771076,0.2793722191784635,12.61458804113125
43,0.3428072604649472,6.0907162069827195e-05,0.8257281184463696,0.1991912661232841,0.2659399650133548,13.609752758735425
44,0.3036751501121611,5.93690657292863e-05,0.826273666436157,0.2154560524009238,0.2880706785783084,11.697579909939378
45,0.34645652321149717,5.7821723252011606e-05,0.8216015934516182,0.1941592202476705,0.26352306113335094,11.637128952735333
46,0.2924183366714783,5.6266661678215284e-05,0.8182569704102295,0.19815418681329927,0.26561210038222555,12.421059788824083
47,0.27560759982410465,5.470541566592577e-05,0.82352884519154,0.20857720676053856,0.28624214716279617,12.028311668576256
48,0.2907808815252106,5.313952597646573e-05,0.8171268959673845,0.19656819523046792,0.26873406461929095,11.70827599775793
49,0.2801122780678407,5.1570537953906474e-05,0.8242088613548101,0.2138387773814529,0.2912673315575991,11.345956241549098
50,0.2599696526831051,5.0000000000000057e-05,0.8270685862932761,0.22265452631277785,0.3013193192962719,12.342649684474782
51,0.2506461667845834,4.842946204609364e-05,0.8264275485932763,0.21840825970349395,0.2967118211820446,12.321797447969706
52,0.2913923482849913,4.686047402353438e-05,0.8300138682061404,0.2227465709262738,0.3030239308779325,11.820221006794197
53,0.26152448299920783,4.529458433407433e-05,0.8186578164987257,0.2086539593060693,0.2852620708128513,12.23990259827226
54,0.2643682061220115,4.3733338321784836e-05,0.8261255783749292,0.22192114802529492,0.30602507410677016,11.918745325689894
55,0.23402681089234803,4.21782767479885e-05,0.8212189573787811,0.21986648465109476,0.3037833645119131,10.959704462836989
56,0.22541961776760389,4.0630934270713814e-05,0.8249339510692364,0.2195513476921637,0.3001149775740362,12.596547106671585
57,0.21850478424216216,3.909283793017293e-05,0.8243853179115068,0.21207144130694666,0.29633607520871047,11.929319107909736
58,0.21693082224085647,3.75655056417573e-05,0.8272678429935459,0.22797679316071898,0.3165479279367913,11.47573579995059
59,0.22760536802827186,3.605044469803859e-05,0.8295553069027246,0.23356359358202727,0.32321034975341395,11.523670930201767
60,0.22251166079966528,3.454915028125269e-05,0.8236651193169889,0.22318350800015863,0.30711680898541094,11.2546338783658
61,0.2254614993086401,3.3063103987735474e-05,0.8280246121153793,0.2338134917178555,0.3213566688320968,11.231869860359092
62,0.21201269005267126,3.159377236576616e-05,0.824323238312669,0.2343741961265439,0.3230575749730614,10.261258668009932
63,0.23818882962442794,3.0142605468261005e-05,0.8116731467734787,0.2202285389297299,0.30560774576022287,11.507756973910814
64,0.2032835657866496,2.8711035421746404e-05,0.8295905229660654,0.2391535555913588,0.3312493751601662,10.468609972988412
65,0.19312034955002227,2.73004750130227e-05,0.8254220848360986,0.2354545299582115,0.3274190687825478,10.002459545322848
66,0.20241834623914845,2.5912316294914263e-05,0.8321211884066914,0.24946421229029406,0.34553443573106835,10.802447645465003
67,0.19677131840924048,2.4547929212481466e-05,0.8323163817150373,0.24496406353988084,0.33769337556064044,11.444044006632891
68,0.19149561493464237,2.320866025105019e-05,0.8339597980042726,0.2506482003660791,0.34498001317997234,11.383978521042682
69,0.20550829938279008,2.1895831107393498e-05,0.832101548679059,0.24109525461628914,0.333749955108953,11.508670810447555
70,0.18666529233725565,2.061073738537638e-05,0.8338638568060686,0.2521471211034446,0.34730426591224145,11.318803235232956
