epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,1.7134191829424639,0.6679819765993774,0.10377592338104642,0.15332893381733534,56.05993726005112
2,1.2469902565846076,0.7717558894727298,0.18587908897586367,0.2655509850416505,28.00889156652178
3,1.0539992772615874,0.8161810286250911,0.23303368758463958,0.32036769780634855,14.683618736980293
4,0.9366227927116247,0.8247175378252877,0.2826719445204556,0.3898115473333732,21.343082852456966
5,0.8315032823727682,0.8481605250504349,0.31530705108420176,0.4188603452733843,13.556847643972874
6,0.7456420682943784,0.8445079871988105,0.3308651173802133,0.44792140457888086,13.631713217354765
7,0.7072008641866537,0.8547520992310407,0.37274593074065504,0.4947955103311923,12.290122703506398
8,0.6440366598275992,0.8528247722431203,0.3444712042603119,0.4607211684954156,11.997619713568756
9,0.6174339422812829,0.861265866981103,0.4028449001079537,0.531930189814403,11.27454882765257
10,0.5911086121430764,0.8580431456974323,0.3762458927575671,0.5082087884812536,12.376671743944518
11,0.5600392531890136,0.8468438355710834,0.3713903871358008,0.5015858976190235,12.270329738923337
12,0.5548523492538012,0.8530469795829605,0.39467847337502393,0.5326491108541764,10.997410928398041
13,0.5241079370562847,0.8633936546372708,0.44132249896926484,0.5772408359205029,11.153647354021002
14,0.5080264864059595,0.8710411087341104,0.455125499783658,0.5887588699227223,10.370186820094155
15,0.4956202031328128,0.8625625404928292,0.4416529771516268,0.5841069310327383,28.645807228115782
16,0.4809148363195933,0.8686106736276082,0.43671080431651516,0.580701222378311,23.494738646297062
17,0.47575253592087674,0.8633049372469316,0.42507460934796626,0.5659224582807217,10.62624744058615
18,0.469040647149086,0.8637943502297698,0.4304575025740435,0.5774564845753457,22.22085667862328
19,0.4667982350175197,0.8614506008176448,0.416391987836177,0.5581417618694939,12.769522468432559
20,0.4634418814228131,0.8513911473739577,0.3694750105897412,0.51085202991188,29.978313756356684
21,0.4621199954014558,0.858716239044832,0.42055359777881096,0.5599384901053899,11.429375894689716
22,0.45432204466599685,0.8579992008662549,0.4068032356398773,0.5454481361700392,11.701811481874458
23,0.44341908452602535,0.8691454611535969,0.44350448388730745,0.5825244348056983,11.833058945221469
24,0.42450242661512816,0.8649390227843415,0.42610368767116363,0.5645584407801912,32.638972942778324
25,0.42316195311454624,0.8692641272473756,0.43546757507645095,0.5673900998000995,12.854229992922395
26,0.41571463644504547,0.8750613835548509,0.4642377705215961,0.6001065207562972,11.563089499293188
27,0.41777142481162,0.8735254214076041,0.46176894235489696,0.6006905124372588,10.944305312086675
28,0.41233972861216617,0.8746192263151281,0.46715686852807714,0.6081014978662945,17.80979740870811
