epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,2.3945611256819506,0.7177936684829025,0.15506255080568465,0.22834500171650823,59.28330617114651
2,1.534008081142719,0.8085705965435585,0.21710571224204958,0.30648798756382195,14.903666956028514
3,1.181243196129799,0.7718299335033436,0.20779094453608965,0.29875236265823774,33.99898170169789
4,0.9195093157199713,0.8305697251717348,0.295798466620496,0.40207079548990765,11.755114486172518
5,0.7527328465993588,0.8479812090697918,0.32716160404206207,0.43494639426595505,11.355490782951268
6,0.6190117471493207,0.8387870323619068,0.3350885960870303,0.45006455341718277,21.704263049404545
7,0.5406309480850513,0.8328817199284542,0.33124756575839626,0.449701856049524,13.753430162457462
8,0.46377562101070696,0.8434374339228512,0.3432111978943464,0.46485081778570747,11.458342329004902
9,0.3889724391584213,0.8555264011365458,0.3840691948640772,0.5061835542740764,30.03910060326527
10,0.3514439036639837,0.8529764722082804,0.39464076397303754,0.5241182293498878,27.5072835826431
11,0.31081731187609524,0.8471688316769995,0.36529530166494123,0.4917563399660704,12.37339783755628
12,0.2724291696571387,0.8659661579651136,0.40250724530547993,0.5356331874407086,14.695377733358903
13,0.23366758485253042,0.8549940215465119,0.392710552324375,0.5246360077188547,11.793179716511005
14,0.2281291330089936,0.8493419186283193,0.3825897230736668,0.5204160509377992,12.414935572969156
15,0.2180248832759949,0.846173451151633,0.3697170496828742,0.5007480560800264,11.961018844034982
16,0.24450049835901994,0.8350922803830725,0.3023297997856144,0.42302674795676865,13.779369459144787
17,0.2233015142667752,0.8132103881367015,0.3357600178310952,0.47659295208973224,14.68788599425518
18,0.18784705090981263,0.8529651097604931,0.3473117122490891,0.4784250996314031,10.862073424153916
19,0.17128650142023197,0.8569582953017407,0.37110564229208637,0.5067915215634778,26.78284741635202
20,0.15255292075184676,0.8564415672954139,0.37188350768087386,0.5060486142863025,11.109068440126224
21,0.134761949427999,0.8552622806614901,0.35781011218756065,0.4815562327557342,12.715701886480822
22,0.13663656909305316,0.8590731403021508,0.39436109022247073,0.5314741177350633,11.878664670452595
23,0.12198472460015462,0.8503303763378154,0.3661902399137957,0.49790700093917456,11.958349097383973
24,0.13144232203754094,0.8558862370658097,0.36592269176049813,0.5000019159066933,11.509563445833104
25,0.11485576292929742,0.8466216282312431,0.3417729614021142,0.4748108851284093,12.83837903607156
26,0.11093158812190478,0.8551670166952734,0.38923360477730756,0.522853718637632,12.307375772345909
27,0.10139711050746533,0.866720142910999,0.424119257595827,0.5622772106759933,24.51441296791953
