epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,1.8451905319323907,0.5117138559407166,0.05017279281326861,0.0768991515525949,43.31709322975793
2,1.5133246779441833,0.5636374581527068,0.04246303396061207,0.06037815396345153,36.69392301455064
3,1.3081441750893226,0.6616108790546443,0.044563846155495815,0.06002083084147399,27.20943058182127
4,1.1688206287530751,0.6910320940238792,0.04653249865131613,0.061950519038559616,27.036783129736914
5,1.0843650950835302,0.7131614769376171,0.04341717238480583,0.05588568923121473,25.004608022270986
6,1.0502626299858093,0.7199994883136096,0.04588751940481291,0.06037138254702307,23.7887043249734
7,1.0313369093032985,0.719467785955563,0.04549844224611107,0.059514011212584705,24.143331005541384
8,1.0153244825509877,0.7274172855187484,0.052283717936806764,0.07049155623242431,24.088613127763853
9,0.9887260920726336,0.711058445872986,0.04911053496066763,0.06607648151930254,25.213300733975203
10,0.9892485267840899,0.7323442987225147,0.05209109665865138,0.07040914003501289,23.736075783226983
11,0.9746448409098846,0.7112872750367022,0.0557415288175642,0.07864858725456643,25.046453385293734
12,0.9783149659633636,0.7118724034737486,0.05091360530995528,0.07042025902054877,23.760321929574733
13,0.9628675121527451,0.7167864740217572,0.06084662348034794,0.08649411496368827,23.838986355278344
14,0.953409283207013,0.7183769909679827,0.04884214199176832,0.06489725622818232,24.689372732998702
15,0.9459507178801757,0.7194134569005801,0.0529594882814003,0.07364466693264052,23.883544496780072
16,0.9333557085349009,0.7299130358880279,0.05173618893076235,0.0707653824343021,23.9111409158873
17,0.9316817831534606,0.7165435734823044,0.049920773441438075,0.06752678236616216,24.746681410418894
18,0.9301519187597128,0.7286032692245468,0.049766078543395445,0.0677748134290279,24.185496312369754
19,0.9273727020392051,0.7134941483393895,0.047713757846961684,0.06419015402871696,25.07063831798047
20,0.9037409745729886,0.7117698404516686,0.04973640582296707,0.06779071482949053,24.741264419793207
21,0.897098624935517,0.6973114642583293,0.051555472896299484,0.07129658752188377,25.4441709374521
22,0.8956395456424127,0.727720835945066,0.05393054875725715,0.07522408917772383,24.038574250139224
23,0.8969363730687362,0.7047305406794443,0.05393726117543355,0.07542983476191181,24.9840472914756
24,0.8875766751857904,0.6996798950139924,0.060017255887631855,0.08658543269866878,24.178687645779657
25,0.8907332878846389,0.7139329946671743,0.05082503382707542,0.06983245446996324,24.461901352601625
26,0.871859935613779,0.7088770063938225,0.05444706979718855,0.07607058752610496,24.552837225538582
27,0.8647751200657624,0.7033306269136507,0.05131765670694678,0.07012652678877049,24.569944405644364
28,0.86138939169737,0.7001875932604883,0.055904053048948237,0.07920895953005751,25.531416397714167
29,0.8697510522145492,0.7005982968367999,0.054345860227628565,0.07676821077239279,25.53407261602388
30,0.849848638360317,0.708154700855344,0.05802778155836531,0.08394388186272281,24.840317303305216
31,0.8415985050109717,0.6937967807401243,0.06778979271485522,0.10026873344970234,26.516395320991553
32,0.8475684191171939,0.7249839909882997,0.0543459949259948,0.07686239692007842,23.535720821834587
33,0.8437893104094726,0.689494551668662,0.05406118716427286,0.07664403032538362,24.92480770769652
34,0.8415726113777894,0.7091469962127682,0.059517321449514604,0.08477087128346429,24.536591867815304
35,0.8389801199619586,0.7082006021344848,0.06715321161597967,0.0994693718783089,24.088115913538385
36,0.8189804576910459,0.6830359407015671,0.06359502747571104,0.09384884857184862,26.193646501394973
37,0.8244066318640342,0.6836803645615036,0.06274066829815232,0.09270749762581101,25.35861147893436
38,0.8222577789655099,0.6699445196506386,0.051385824573552,0.07198835389083284,26.126591119629893
39,0.8108717226065122,0.6857863302980799,0.07311129988261691,0.10951884471263673,25.981400695887135
