epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,2.901163209159419,0.4174063670341528,0.04314278507568666,0.06690913441143746,77.37641837767676
2,2.2687839517053567,0.6390760599244961,0.06511199695666582,0.092619304202449,67.39806664964041
3,1.7901947250906027,0.7238806295849546,0.0820028556304488,0.11709291940340667,53.9580487509839
4,1.4535194275514134,0.7398532965019463,0.09690505997074232,0.13837062442010536,44.1476340676477
5,1.251907134955784,0.7274686046537877,0.08610225110865391,0.11999735482581102,69.4919416464505
6,1.0794434176301055,0.7550044810183161,0.10522649560317528,0.14645205250673424,77.31347676189885
7,0.9852576548198484,0.7833786953351508,0.10334543841569654,0.14144145864541247,11.818648039409068
8,0.9095359051002646,0.783444236341924,0.10349230386800376,0.14136708466860606,30.503414553370135
9,0.8279517742822755,0.8030343755431965,0.1216488694608045,0.16085688930809436,12.145766532216747
10,0.7672992641071104,0.8112197775819657,0.12953674083599845,0.16874467072591504,11.399771477593685
11,0.7444278457254734,0.7998033769796807,0.13002093634004883,0.1695105562966807,21.927394300513296
12,0.7482360505832816,0.81149465852082,0.1330492550604585,0.17330689556887363,13.888347179950479
13,0.7115006846077038,0.7962732676217644,0.12006745353417646,0.15804830841809792,12.737461975064571
14,0.671881339460049,0.8058944014736568,0.12852373069906337,0.1682597050334513,13.71553647704609
15,0.6553503297409922,0.8019735292590555,0.12306498397409218,0.16341579675015655,22.385466269036165
16,0.6272764144078741,0.8093798887684085,0.13387396242860033,0.17533537426374904,11.578408461449573
17,0.5919766004355449,0.8081155718960765,0.12591251208627993,0.16515199520507537,25.423906074299943
18,0.567820170577967,0.8117633691237898,0.134438858498518,0.17484921160101663,23.95605588727797
19,0.5590521816937428,0.8029582998166206,0.1320414960468703,0.17557354134450126,25.827723183416946
20,0.5942732615853256,0.8012409899927687,0.12368273697003893,0.165915521835182,10.443948872478348
21,0.5537872072660698,0.8060447469748423,0.13831304807169906,0.1814055004509898,12.564327592976898
22,0.5447960389110277,0.8085353052322191,0.13675751005324382,0.18291905055637298,15.15392412765587
23,0.5634922109684855,0.8068930176629627,0.142229605147161,0.1939900628435408,14.177457504580055
24,0.6150926649570465,0.812280398122111,0.15200534067878047,0.20497435224673125,13.661928480320208
25,0.5059142697532222,0.8099665221654267,0.14546361856390866,0.19415146508787928,10.69205543328119
26,0.4861786078731969,0.8165181396587804,0.16566473828418846,0.22695289879652036,13.679654102858063
27,0.4894762311903936,0.8241993801069876,0.18257525533645583,0.24485939179016025,10.104249626421034
28,0.4622392440741917,0.8193418208059211,0.17676689117842348,0.23853325236146597,33.641074068382366
29,0.47735956845418465,0.8129525884935276,0.1713471398067863,0.23161523924534974,26.664277855657442
30,0.45178571006037155,0.813683547551844,0.17363712907794263,0.2302957875626526,46.9242467528275
31,0.477701262483057,0.8120493115184368,0.16964918512047256,0.23209785065819152,33.36129520697624
32,0.43213562976639225,0.8153460768327214,0.1654819191907914,0.2227899714050202,44.88449795922421
33,0.4170431359758917,0.8199563712104168,0.18892542764160353,0.2533384636376847,40.98867823170487
34,0.38956737518310547,0.8125473027731145,0.17806285949893683,0.24397030891627416,39.23835233261287
35,0.3779839642767636,0.8179820894713753,0.18805728895590693,0.25278415219959127,52.97740847254315
36,0.3798553437556861,0.8152560802264062,0.1801552780060557,0.2456806612990923,29.223421205759866
