epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,2.0114326110252967,0.6583516624916569,0.15194637196388672,0.23004287251746125,65.81313874432111
2,1.9982089285667126,0.7344958647462374,0.23692277497026154,0.34705012363733684,52.117822291361485
3,1.99005677149846,0.6869411613324614,0.2502351353834221,0.3623414625819187,57.64095481035269
4,1.9825568588880391,0.7250082960918447,0.27569737033503783,0.39651492618914524,62.52663455456185
5,1.9795156946549048,0.736373076567096,0.28182411016594644,0.40615189862592693,42.37100375415441
6,1.9746329990717082,0.7322329316845995,0.29638154745067863,0.42673093555705455,55.14945654041626
7,1.9692450349147503,0.759835628271877,0.3091317161149396,0.43990076602515016,48.065297598108415
8,1.9669667803324187,0.7455534076432402,0.32264492802519573,0.4535300396896883,55.14734812208422
9,1.9648433740322406,0.7634509936121974,0.3318444685526704,0.46162108390600515,26.490356332097015
10,1.961657505768996,0.7883674871457607,0.3450786231527144,0.4775057237940599,34.76107484971535
11,1.9598361551761627,0.7939437400813731,0.3504319384588531,0.4817722213028607,31.504391641854344
12,1.956720565374081,0.8006797151712758,0.3617557446362052,0.4968709441111606,27.979604075156704
13,1.9562745575721447,0.7844299851234707,0.3585684474376171,0.49648353142906254,46.72540120064729
14,1.9549247851738563,0.7974922099509458,0.3407777467802188,0.4815928158561151,25.817597833635627
15,1.9536047921730921,0.7981929193138285,0.37966080027198706,0.5246988033915975,32.42144747690451
16,1.951638203400832,0.8054470521220312,0.368185177941042,0.5127035027666192,27.89546592908512
17,1.9490361786805666,0.8175256351119201,0.3852405895696058,0.5317666061335766,20.812580555540624
18,1.9489799646230845,0.8232812040281758,0.3957068226285954,0.5380486685594471,22.725180090802308
19,1.9470034058277423,0.8092711554104439,0.3746885175059508,0.5159687986825415,31.59162345531221
20,1.9457468184141011,0.8170806936962494,0.3880282118796564,0.5280092490421092,23.805187111884933
21,1.9474594180400555,0.8156713739306318,0.4001934261098035,0.5397489286564868,30.12166109550148
22,1.9467747096831982,0.810996742514141,0.3806985150592672,0.5206671863106787,42.93805137165864
23,1.9439289569854736,0.8118317695545093,0.3909689153385606,0.5291881832903804,34.705097334165586
24,1.9431563982596765,0.8245471763564769,0.4154113897160931,0.5597505211462286,27.85244158692359
25,1.9431242896960332,0.8354649837200955,0.41536638056042097,0.5582852050016276,27.083901227909262
26,1.9412138278667743,0.8081941308066058,0.3941359736294365,0.5336870895478352,43.55596362076579
27,1.9396178814081044,0.8412470399318555,0.4285889803806621,0.5754565224139578,29.01290424090911
