epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,2.381918033728233,0.7381918959410477,0.0351519950448118,0.04044662171869199,24.483888987892712
2,1.3914707669844995,0.7381918959410477,0.0351519950448118,0.04044662171869199,24.483888987892712
3,1.193238595357308,0.7387530202665434,0.03562204941833993,0.04135178759425098,24.468911771530326
4,1.1086130222448936,0.7575737486822194,0.05082858928436786,0.06360464811156613,23.709862308148118
